stock_number,gemstone,origin,price,carat,shape,cut,color,clarity,measurements,table,depth,symmetry,polish,girdle,culet,fluorescence,diamond_id
6288616A,"Natural, untreated diamond",Canada,"$2,610",0.90,Round,Good,J,VS2,5.85mm x 5.77mm x 3.90mm,57.0%,67.1%,Very Good,Excellent,Very Thick,None,Medium,16390996
4722123A,"Natural, untreated diamond",Botswana Sort,"$2,610",0.90,Round,Good,I,SI1,6.03mm x 6.00mm x 3.76mm,60.0%,62.5%,Good,Excellent,5.5,Pointed,Medium,16958857
6524330Y,"Natural, untreated diamond",Botswana Sort,"$2,620",0.90,Round,Very Good,F,SI2,6.04mm x 5.99mm x 3.87mm,55.0%,64.3%,Very Good,Excellent,Slightly Thick - Thick,None,None,17747411
6330233A,"Natural, untreated diamond",Botswana Sort,"$2,620",0.90,Round,Very Good,G,SI2,6.00mm x 5.95mm x 3.89mm,55.0%,65.1%,Very Good,Excellent,Thin - Thick,None,None,16555273
6328805A,"Natural, untreated diamond",Botswana Sort,"$2,620",0.90,Round,Very Good,J,VS2,6.03mm x 5.96mm x 3.88mm,55.0%,64.6%,Very Good,Excellent,Medium - Thick,None,None,17749587
6272179A,"Natural, untreated diamond",Botswana Sort,"$2,620",0.90,Round,Very Good,F,SI2,6.05mm x 5.97mm x 3.85mm,58.0%,64.0%,Very Good,Very Good,Sl.Tk - Thick,None,Strong,17504076
6594794A,"Natural, untreated diamond",Botswana Sort,"$2,600",0.91,Round,Very Good,I,SI2,6.15mm x 6.07mm x 3.85mm,59.0%,63.0%,Very Good,Excellent,Slightly Thick - Thick,None,None,17868065
6238755A,"Natural, untreated diamond",Botswana Sort,"$2,600",0.90,Round,Very Good,G,SI2,6.03mm x 5.99mm x 3.86mm,56.0%,64.3%,Good,Excellent,Very Thin - Thick,None,None,17575658
6336224A,"Natural, untreated diamond",Botswana Sort,"$2,620",0.90,Round,Good,H,SI1,5.95mm x 5.87mm x 3.94mm,57.0%,66.6%,Very Good,Excellent,6.5,Pointed,None,16570159
6405834AY,"Natural, untreated diamond",Botswana Sort,"$2,620",0.90,Round,Very Good,J,VS2,6.14mm x 6.09mm x 3.84mm,57.0%,62.8%,Excellent,Excellent,Medium - Slightly Thick,None,None,17804261
6315449A,"Natural, untreated diamond",Botswana Sort,"$2,620",0.90,Round,Good,H,SI1,5.92mm x 5.83mm x 3.89mm,55.0%,66.2%,Good,Excellent,Thick - Very Thick(Faceted),None,None,16491144
5780349A,"Natural, untreated diamond",Botswana Sort,"$2,620",0.90,Round,Very Good,J,VS1,6.03mm x 5.95mm x 3.85mm,58.0%,64.3%,Very Good,Excellent,Thick,None,Medium,14850879
6556746A,"Natural, untreated diamond",Botswana Sort,"$2,620",0.90,Round,Very Good,J,SI1,6.07mm x 6.02mm x 3.88mm,56.0%,64.2%,Very Good,Excellent,Slightly Thick,None,Medium,17885113
5556118A,"Natural, untreated diamond",Canada,"$2,630",0.90,Round,Good,I,VS1,5.92mm x 5.88mm x 3.91mm,57.0%,66.3%,Very Good,Excellent,"Thick - Very Thick, Faceted",None,Strong,17426565
6499103A,"Natural, untreated diamond",Botswana Sort,"$2,630",0.90,Round,Very Good,G,SI2,6.03mm x 5.98mm x 3.86mm,57.0%,64.3%,Excellent,Excellent,Thick,None,None,17684358
6092543A,"Natural, untreated diamond",Botswana Sort,"$2,630",0.90,Round,Super Ideal,H,SI2,6.16mm x 6.11mm x 3.82mm,59.0%,62.2%,Excellent,Excellent,Thin,None,Faint,17832014
6216044A,"Natural, untreated diamond",Botswana Sort,"$2,630",0.91,Round,Very Good,J,VS2,6.06mm x 6.04mm x 3.88mm,57.0%,64.1%,Very Good,Excellent,Slightly Thick - Thick,None,None,17684368
6578022A,"Natural, untreated diamond",Botswana Sort,"$2,630",0.90,Round,Very Good,H,SI2,6.07mm x 6.01mm x 3.91mm,57.0%,64.7%,Very Good,Excellent,"Slightly Thick - Thick, Faceted",None,None,17793893
5597081A,"Natural, untreated diamond",Botswana Sort,"$2,640",0.90,Round,Very Good,I,SI1,6.07mm x 6.03mm x 3.92mm,57.0%,64.8%,Excellent,Excellent,Slightly Thick - Thick,None,None,17742470
6427441A,"Natural, untreated diamond",Botswana Sort,"$2,640",0.90,Round,Very Good,H,SI2,6.08mm x 6.01mm x 3.77mm,62.0%,62.3%,Very Good,Excellent,Medium - Thick,None,17871999
6336196A,"Natural, untreated diamond",Botswana Sort,"$2,640",0.91,Round,Very Good,F,SI2,6.05mm x 6.01mm x 3.89mm,57.0%,64.6%,Excellent,Excellent,5.5,Pointed,None,16959443
6225480A,"Natural, untreated diamond",Botswana Sort,"$2,640",0.91,Round,Very Good,G,SI2,6.09mm x 6.02mm x 3.86mm,56.0%,63.7%,Very Good,Very Good,Thick,None,Faint,16107863
